Amplicon_ID	Chr	Amplicon_Start	Amplicon_End	Insert_Start	Insert_End	Gene	Transcript	Exon	Pool
MUT.1	6	49399400	49399520	49399400	49399520	MUT	NM_000255	Exon13	Pool1
MUT.2	6	49399420	49399540	49399420	49399540	MUT	NM_000255	Exon13	Pool1
MUT.3	6	49399440	49399560	49399440	49399560	MUT	NM_000255	Exon13	Pool1
MUT.4	6	49399460	49399580	49399460	49399580	MUT	NM_000255	Exon13	Pool1
MUT.5	6	49399480	49399600	49399480	49399600	MUT	NM_000255	Exon13	Pool1
MUT.6	6	49399500	49399620	49399500	49399620	MUT	NM_000255	Exon13	Pool1
MUT.7	6	49403100	49403220	49403100	49403220	MUT	NM_000255	Exon12	Pool1
MUT.8	6	49403120	49403240	49403120	49403240	MUT	NM_000255	Exon12	Pool1
MUT.9	6	49403140	49403260	49403140	49403260	MUT	NM_000255	Exon12	Pool1
MUT.10	6	49403160	49403280	49403160	49403280	MUT	NM_000255	Exon12	Pool1
MUT.11	6	49403180	49403300	49403180	49403300	MUT	NM_000255	Exon12	Pool1
MUT.12	6	49403200	49403320	49403200	49403320	MUT	NM_000255	Exon12	Pool1
MUT.13	6	49403220	49403340	49403220	49403340	MUT	NM_000255	Exon12	Pool1
MUT.14	6	49403240	49403360	49403240	49403360	MUT	NM_000255	Exon12	Pool1
MUT.15	6	49403260	49403380	49403260	49403380	MUT	NM_000255	Exon12	Pool1
MUT.16	6	49403280	49403400	49403280	49403400	MUT	NM_000255	Exon12	Pool1
MUT.17	6	49407900	49408020	49407900	49408020	MUT	NM_000255	Exon11	Pool1
MUT.18	6	49407920	49408040	49407920	49408040	MUT	NM_000255	Exon11	Pool1
MUT.19	6	49407940	49408060	49407940	49408060	MUT	NM_000255	Exon11	Pool1
MUT.20	6	49407960	49408080	49407960	49408080	MUT	NM_000255	Exon11	Pool1
MUT.21	6	49407980	49408100	49407980	49408100	MUT	NM_000255	Exon11	Pool1
MUT.22	6	49408000	49408120	49408000	49408120	MUT	NM_000255	Exon11	Pool1
LMBRD1.1	6	70386320	70386440	70386320	70386440	LMBRD1	NM_018368	Exon15	Pool1
LMBRD1.2	6	70386340	70386460	70386340	70386460	LMBRD1	NM_018368	Exon15	Pool1
LMBRD1.5	6	70407440	70407560	70407440	70407560	LMBRD1	NM_018368	Exon14	Pool1
LMBRD1.6	6	70407460	70407580	70407460	70407580	LMBRD1	NM_018368	Exon14	Pool1
LMBRD1.7	6	70407480	70407600	70407480	70407600	LMBRD1	NM_018368	Exon14	Pool1
LMBRD1.8	6	70407500	70407620	70407500	70407620	LMBRD1	NM_018368	Exon14	Pool1
LMBRD1.11	6	70408940	70409060	70408940	70409060	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.12	6	70408960	70409080	70408960	70409080	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.13	6	70408980	70409100	70408980	70409100	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.14	6	70409000	70409120	70409000	70409120	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.15	6	70409020	70409140	70409020	70409140	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.16	6	70409040	70409160	70409040	70409160	LMBRD1	NM_018368	Exon13	Pool1
LMBRD1.17	6	70409060	70409180	70409060	70409180	LMBRD1	NM_018368	Exon13	Pool1
